Rk,Pk,Season,School,G_college,GS,MP_college,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_college,WS/40,name,PER,lottery
1,1,Career,Kentucky,37.0,37.0,1288.0,0.562,0.503,0.26,0.53,669.0,2.7,10.1,6.6,34.8,2.9,1.5,21.4,25.7,3.7,2.6,6.3,0.196,john wall,,True
2,2,Career,Ohio State,101.0,94.0,3314.0,0.577,0.527,0.139,0.473,682.0,7.3,23.5,14.1,31.4,3.0,2.4,21.1,30.8,9.3,6.8,16.1,0.194,evan turner,,True
3,3,Career,Georgia Tech,36.0,35.0,989.0,0.621,0.611,0.003,0.488,420.0,12.6,19.9,16.5,7.9,1.8,7.9,20.0,21.8,2.3,2.5,4.8,0.195,derrick favors,,True
5,5,Career,Kentucky,38.0,37.0,893.0,0.579,0.56,0.016,0.726,555.0,19.8,24.8,22.5,9.2,2.4,7.5,13.6,30.5,3.8,2.7,6.5,0.29,demarcus cousins,,True
7,7,Career,Georgetown,65.0,65.0,2122.0,0.585,0.55,0.052,0.565,574.0,8.6,25.2,15.5,20.7,2.2,4.4,19.0,24.7,6.0,4.5,10.5,0.198,greg monroe,,True
9,9,Career,Butler,69.0,69.0,2284.0,0.624,0.562,0.495,0.536,549.0,7.6,23.4,14.1,12.9,2.0,2.7,14.8,22.3,7.9,6.3,14.2,0.249,gordon hayward,,True
10,10,Career,Fresno State,63.0,63.0,2138.0,0.579,0.532,0.43,0.369,469.0,6.7,18.8,11.5,16.8,4.0,2.5,17.1,24.6,5.3,3.0,8.3,0.155,paul george,,True
11,11,Career,Kansas,111.0,71.0,2330.0,0.612,0.574,0.0,0.515,400.0,13.6,25.4,20.5,6.5,1.6,9.9,13.6,21.0,7.4,9.0,16.5,0.282,cole aldrich,,True
12,12,Career,Kansas,36.0,36.0,990.0,0.591,0.555,0.466,0.325,430.0,5.2,11.5,8.6,9.8,3.1,1.8,14.4,23.4,2.8,2.1,4.9,0.197,xavier henry,,True
13,13,Career,UNC,61.0,25.0,1357.0,0.572,0.548,0.0,0.595,282.0,10.8,24.2,17.9,5.7,0.9,7.8,14.9,19.2,2.6,4.6,7.2,0.212,ed davis,,True
14,14,Career,Kentucky,97.0,97.0,3295.0,0.625,0.597,0.069,0.396,498.0,10.6,13.4,13.8,10.0,1.2,3.9,11.3,21.3,12.0,5.7,17.7,0.215,patrick patterson,,True
15,15,Career,VCU,101.0,82.0,2376.0,0.538,0.523,0.02,0.456,472.0,12.9,24.9,18.6,5.5,1.6,10.7,13.8,23.5,4.7,10.0,14.6,0.246,larry sanders,,False
16,16,Career,Nevada,68.0,68.0,2370.0,0.591,0.52,0.192,0.424,697.0,6.6,19.4,13.4,11.0,1.6,1.9,11.6,26.8,8.4,3.6,12.0,0.202,luke babbitt,,False
18,18,Career,Kentucky,37.0,35.0,1122.0,0.566,0.54,0.41,0.394,405.0,1.9,8.5,5.5,16.8,2.6,1.1,23.2,20.4,1.5,2.1,3.5,0.126,eric bledsoe,,False
19,19,Career,Texas,34.0,32.0,1003.0,0.496,0.489,0.304,0.179,374.0,3.5,6.6,5.1,12.4,2.4,1.6,11.5,20.4,1.6,1.6,3.2,0.127,avery bradley,,False
21,21,Career,Iowa State,96.0,95.0,3052.0,0.514,0.472,0.184,0.349,508.0,6.6,19.4,13.6,12.2,1.3,2.7,11.6,29.1,5.5,5.0,10.5,0.137,craig brackins,,False
23,23,Career,Clemson,134.0,134.0,3806.0,0.584,0.569,0.058,0.428,482.0,10.1,20.4,16.4,14.0,2.5,4.8,15.0,23.3,10.5,13.3,23.8,0.25,trevor booker,,False
24,24,Career,Texas,142.0,140.0,4156.0,0.541,0.514,0.192,0.428,564.0,11.0,23.9,16.6,7.5,3.0,3.0,12.7,23.7,7.8,12.8,20.7,0.199,damion james,,False
